ts,symbol,event,direction,module,grade,detail
2026-09-23 16:02,XRPUSDT,setup,LONG,LONG_MAJ,A,limit level 1.61
2026-09-23 16:02,UNIUSDT,setup,LONG,LONG_MAJ,A,limit level 10.355
2026-09-23 16:02,ARBUSDT,setup,LONG,LONG_MAJ,A,limit level 0.24795
2026-09-23 16:02,ADAUSDT,setup,LONG,LONG_MAJ,A,limit level 0.2577
2026-09-23 16:02,AEROUSDT,setup,LONG,LONG_MAJ,A,limit level 0.7195
2026-09-23 16:02,1000BONKUSDT,setup,LONG,LONG_MAJ,A,limit level 0.003698
2026-09-23 16:02,VIRTUALUSDT,setup,LONG,LONG_MAJ,A,limit level 0.7596
2026-09-23 16:02,RAYDIUMUSDT,setup,LONG,LONG_MAJ,A,limit level 1.8675
2026-09-23 16:02,MNTUSDT,setup,LONG,LONG_MAJ,A,limit level 0.6719
2026-09-23 16:02,NILUSDT,setup,LONG,LONG_MAJ,A,limit level 0.08773
2026-09-23 16:02,ETCUSDT,setup,LONG,LONG_MAJ,A,limit level 9.5
2026-09-23 16:02,AAVEUSDT,setup,LONG,LONG_MAJ,C,limit level 149.21
2026-09-23 16:02,XLMUSDT,setup,LONG,LONG_MAJ,C,limit level 0.2202
2026-09-23 16:02,ENSUSDT,open,SHORT,XREV_SHORT,C,entry 7.295
2026-09-23 16:02,METUSDT,open,SHORT,XREV_SHORT,C,entry 0.3547
2026-09-23 16:02,SENTUSDT,open,SHORT,XREV_SHORT,C,entry 0.022956
2026-09-23 16:02,BLASTUSDT,skip_c_cap,SHORT,XREV_SHORT,C,5 C-grade already open
2026-09-23 16:02,SUPERUSDT,skip_c_cap,SHORT,XREV_SHORT,C,5 C-grade already open
2026-09-23 16:02,B3USDT,skip_c_cap,SHORT,XREV_SHORT,C,5 C-grade already open
2026-09-23 16:02,*,scan,,,,universe=253 regime=BTC_UP signals=20 armed=16 open=3 pending=13
2026-09-23 17:02,*,scan,,,,universe=253 regime=BTC_UP signals=0 armed=0 open=3 pending=13
2026-09-23 18:02,UNIUSDT,fill,LONG,LONG_MAJ,A,entry 10.355 level 10.355
2026-09-23 18:02,ARBUSDT,fill,LONG,LONG_MAJ,A,entry 0.2473 level 0.24795
2026-09-23 18:02,ADAUSDT,fill,LONG,LONG_MAJ,A,entry 0.2577 level 0.2577
2026-09-23 18:02,AEROUSDT,fill,LONG,LONG_MAJ,A,entry 0.7195 level 0.7195
2026-09-23 18:02,VIRTUALUSDT,fill,LONG,LONG_MAJ,A,entry 0.7581 level 0.7596
2026-09-23 18:02,RAYDIUMUSDT,fill,LONG,LONG_MAJ,A,entry 1.8175 level 1.8675
2026-09-23 18:02,ETCUSDT,fill,LONG,LONG_MAJ,A,entry 9.5 level 9.5
2026-09-23 18:02,XLMUSDT,fill,LONG,LONG_MAJ,C,entry 0.2202 level 0.2202
2026-09-23 18:02,SAGAUSDT,setup,LONG,LONG_MAJ,A,limit level 0.045
2026-09-23 18:02,PENGUUSDT,skip_c_cap,LONG,LONG_MAJ,C,5 C-grade already open
2026-09-23 18:02,*,scan,,,,universe=252 regime=BTC_UP signals=4 armed=1 open=11 pending=6
2026-09-23 19:02,XRPUSDT,fill,LONG,LONG_MAJ,A,entry 1.61 level 1.61
2026-09-23 19:02,MNTUSDT,fill,LONG,LONG_MAJ,A,entry 0.6719 level 0.6719
2026-09-23 19:02,AAVEUSDT,fill,LONG,LONG_MAJ,C,entry 149.21 level 149.21
2026-09-23 19:02,*,scan,,,,universe=252 regime=BTC_DOWN signals=0 armed=0 open=14 pending=3
2026-09-23 20:02,METUSDT,stop,SHORT,XREV_SHORT,C,0.39017
2026-09-23 20:02,SAGAUSDT,fill,LONG,LONG_MAJ,A,entry 0.044531 level 0.045
2026-09-23 20:02,*,scan,,,,universe=252 regime=BTC_DOWN signals=0 armed=0 open=14 pending=2
2026-09-23 21:02,*,scan,,,,universe=253 regime=BTC_UP signals=0 armed=0 open=14 pending=2
2026-09-23 22:02,HUSDT,setup,SHORT,SHORT_TAIL,A,confirm level 0.06182
2026-09-23 22:02,FFUSDT,setup,SHORT,SHORT_TAIL,A,confirm level 0.12631
2026-09-23 22:02,*,scan,,,,universe=254 regime=BTC_DOWN signals=2 armed=2 open=14 pending=4
2026-09-23 23:02,*,scan,,,,universe=255 regime=BTC_DOWN signals=0 armed=0 open=14 pending=4
2026-09-24 00:02,*,scan,,,,universe=255 regime=BTC_DOWN signals=0 armed=0 open=14 pending=4
2026-09-24 01:02,UNIUSDT,stop,LONG,LONG_MAJ,A,9.3596149
2026-09-24 01:02,ARBUSDT,stop,LONG,LONG_MAJ,A,0.22097749
2026-09-24 01:02,ADAUSDT,stop,LONG,LONG_MAJ,A,0.24276471
2026-09-24 01:02,VIRTUALUSDT,stop,LONG,LONG_MAJ,A,0.71425165
2026-09-24 01:02,ETCUSDT,stop,LONG,LONG_MAJ,A,8.9363676
2026-09-24 01:02,XLMUSDT,stop,LONG,LONG_MAJ,C,0.2078392
2026-09-24 01:02,XRPUSDT,stop,LONG,LONG_MAJ,A,1.5277837
2026-09-24 01:02,AAVEUSDT,stop,LONG,LONG_MAJ,C,140.18711
2026-09-24 01:02,1000BONKUSDT,fill,LONG,LONG_MAJ,A,entry 0.003698 level 0.003698
2026-09-24 01:02,NILUSDT,fill,LONG,LONG_MAJ,A,entry 0.08773 level 0.08773
